title,category,date,start_date
경북콘텐츠코리아랩 2019 메이커스 공모전,취업/창업,2019-10-14 ~ 2019-11-04,19-Oct
2019 부산 창업주관 원더 메이커톤,취업/창업,2019-10-22 ~ 2019-11-04,19-Oct
2019 산림분야 공공데이터 활용 창업 아이디어 경진대회,취업/창업,2019-09-18 ~ 2019-10-13,19-Sep
공개SW 3DS(3Day Startup) 창업 아이디어 경진대회,취업/창업,2019-09-10 ~ 2019-09-30,19-Sep
2019 부산 청년일자리 해커톤 참가팀 모집,취업/창업,2019-07-26 ~ 2019-09-20,19-Jul
빅데이터 인공지능 스타트업 경진대회,취업/창업,2019-06-24 ~ 2019-07-14,19-Jun
2019 광주광역시 공공데이터 활용 창업경진대회,취업/창업,2019-05-20 ~ 2019-07-17,19-May
2019 제주 공공데이터 활용 창업경진대회,취업/창업,2019-04-29 ~ 2019-06-14,19-Apr
기상데이터분석 인공지능활용 창업경진대회 (기간연장),취업/창업,2019-04-29 ~ 2019-06-07,19-Apr
2019년 보건의료빅데이터를 활용한 창업아이디어 공모전,취업/창업,2019-04-29 ~ 2019-06-17,19-Apr
2019 농림축산식품 공공데이터 활용 창업경진대회,취업/창업,2019-04-10 ~ 2019-07-10,19-Apr
삼성SDS 프로그래밍 멘토링 모집,"웹/모바일/플래시, 게임/소프트웨어, 기타",2019-02-01 ~ 2019-02-17,19-Feb
Bixby Developer Day 2019,"웹/모바일/플래시, 게임/소프트웨어, 과학/공학, 대외활동/서포터즈, 기타",2019-11-05 ~ 2019-11-11,19-Nov
삼성SDS Brightics Academy 공모전,"웹/모바일/플래시, 게임/소프트웨어",2019-05-27 ~ 2019-06-21,19-May
2019 SW 챌린지 공모전,"웹/모바일/플래시, 게임/소프트웨어",2019-05-01 ~ 2019-06-28,19-May
제3회 KETI 모비우스 2.0 IoT 서비스 개발자 대회,"웹/모바일/플래시, 게임/소프트웨어",2019-05-13 ~ 2019-06-14,19-May
2019 현대오토에버 배리어프리 앱 개발 콘테스트,"웹/모바일/플래시, 게임/소프트웨어",2019-04-15 ~ 2019-05-15,19-Apr
삼성전자 빅스비 캡슐 챌린지 2019,"웹/모바일/플래시, 게임/소프트웨어",2019-04-02 ~ 2019-04-21,19-Apr
2019 오픈블록체인 해커톤 (참가비 있음),"웹/모바일/플래시, 게임/소프트웨어",2019-02-07 ~ 2019-03-04,19-Feb
2019년 건강iN 콘텐츠 아이디어 공모전,웹/모바일/플래시,2019-10-25 ~ 2019-11-23,19-Oct
제3회 사회보장통계를 활용한 이슈페이퍼 공모 (기간연장),예체능/미술/음악,2019-07-29 ~ 2019-09-06,19-Jul
2019 로컬데이터 활동가 교육,대외활동/서포터즈,2019-10-23 ~ 2019-10-28,19-Oct
2019 우주전파재난 예측 AI 경진대회,"논문/리포트, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-08-10 ~ 2019-09-10,19-Aug
2019년 산재보험패널조사 데이터 설명회 및 연구계획서 공모,"논문/리포트, 기타",2019-09-02 ~ 2019-09-22,19-Sep
KISA-KSII 2019 대학(원)생 블록체인(Block Chain) 학술논문 공모전,논문/리포트,2019-09-16 ~ 2019-10-10,19-Sep
2019 미래에셋대우 대학생 디지털 금융 페스티벌,논문/리포트,2019-09-09 ~ 2019-10-04,19-Sep
제2회 대학생 학술논문경연대회 논문 공모전,논문/리포트,2019-07-30 ~ 2019-09-15,19-Jul
진로교육 현황조사 데이터 활용 제1회 우수 논문 공모전,논문/리포트,2019-04-23 ~ 2019-09-26,19-Apr
제3차 KIPA-KAPA 데이터 활용 논문 공모전,논문/리포트,2019-03-26 ~ 2019-06-30,19-Mar
제17회 통계청 논문 공모전,논문/리포트,2019-03-04 ~ 2019-04-30,19-Mar
부동산114 창사 20주년 기념 Big Data 공모전,"기획/아이디어, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학, 건축/건설/인테리어",2019-03-11 ~ 2019-04-19,19-Mar
2019 IoT 아이디어 경진대회 공모전,"기획/아이디어, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-10-07 ~ 2019-10-25,19-Oct
하반기 NUGU play 개발 공모전 2019,"기획/아이디어, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-07-01 ~ 2019-08-18,19-Jul
과학기술정보통신부 2019 NTIS 정보활용경진대회,"기획/아이디어, 논문/리포트, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-06-24 ~ 2019-08-11,19-Jun
2019년 문화.관광 빅 데이터 분석대회,"기획/아이디어, 논문/리포트, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-06-17 ~ 2019-07-12,19-Jun
[환경부 국립생물자원관] 2019 대학생 생물분류 분야 연구 공모전,"기획/아이디어, 논문/리포트, 과학/공학, 대외활동/서포터즈",2019-08-16 ~ 2019-10-18,19-Aug
[해양수산부장관상] 2019 해운 신사업 아이디어 경진대회,"기획/아이디어, 광고/마케팅, 논문/리포트, 취업/창업",2019-07-01 ~ 2019-08-15,19-Jul
2019 경기도 청년일자리 해커톤 아이디어 공모전,"기획/아이디어, 광고/마케팅, 논문/리포트, 대외활동/서포터즈, 취업/창업",2019-08-26 ~ 2019-09-20,19-Aug
2019 식품안전나라 공공데이터(Open-API) 활용 아이디어 공모전,"기획/아이디어, 광고/마케팅, 논문/리포트, 과학/공학",2019-09-09 ~ 2019-10-23,19-Sep
SK브로드밴드 클라우드캠 API 영상서비스 공모전,"기획/아이디어, 게임/소프트웨어",2019-02-18 ~ 2019-03-18,19-Feb
녹색건축 해커톤 대회 2019 (기간연장),"기획/아이디어, 건축/건설/인테리어, 예체능/미술/음악, 취업/창업",2019-09-30 ~ 2019-11-03,19-Sep
2019 지역문화콘텐츠 기획 해커톤_아이디어 경매,기획/아이디어,2019-12-06 ~ 2019-12-18,19-Dec
2019 강변역 상권 활성화 해커톤,기획/아이디어,2019-11-25 ~ 2019-12-26,19-Nov
2019 전국 콘텐츠 해커톤,기획/아이디어,2019-11-11 ~ 2019-11-20,19-Nov
